CantoneseImages,OutputAudios
cantonese_04.png,can_d01
cantonese_05.png,can_d02
cantonese_06.png,can_d03
cantonese_07.png,can_d04
cantonese_08.png,can_d05
cantonese_09.png,can_d06
cantonese_10.png,can_d07
cantonese_11.png,can_d08
cantonese_12.png,can_d09
cantonese_13.png,can_d10
cantonese_14.png,can_d11
cantonese_15.png,can_d12
cantonese_16.png,can_d13
cantonese_17.png,can_d14
cantonese_18.png,can_d15
cantonese_19.png,can_d16
cantonese_20.png,can_d17
cantonese_21.png,can_d18
cantonese_22.png,can_d19
cantonese_23.png,can_d20
cantonese_24.png,can_d21
