CantoneseImages,OutputAudios
cantonese_25.png,can_r01
cantonese_26.png,can_r02
cantonese_27.png,can_r03
cantonese_28.png,can_r04
cantonese_29.png,can_r05
cantonese_30.png,can_f01
cantonese_31.png,can_f02
cantonese_32.png,can_f03
cantonese_33.png,can_f04
cantonese_34.png,can_f05
cantonese_35.png,can_f06
cantonese_36.png,can_f07
cantonese_37.png,can_f08
cantonese_38.png,can_f09
cantonese_39.png,can_f10
cantonese_40.png,can_f11
cantonese_41.png,can_f12
cantonese_42.png,can_f13
cantonese_43.png,can_f14
cantonese_44.png,can_f15
